Naam;Positie;pace;shooting;passing;Offensive;Defensive;Stamina;Club
Mitchell Schet;RW;85;62;58;69;33;67;ADO Den Haag
Xander Houtkoop;LW;84;62;61;69;24;70;ADO Den Haag
Tyronne Ebuehi;RB;80;33;47;54;59;64;ADO Den Haag
Mathias Gehrt;CAM;79;60;66;69;28;73;ADO Den Haag
Aaron Meijers;LB;76;52;66;65;63;78;ADO Den Haag
Mike van Duinen;ST;75;67;52;65;45;82;ADO Den Haag
Roland Alberg;CAM;75;66;72;71;44;68;ADO Den Haag
Gianni Zuiverloon;CB;73;48;57;60;65;75;ADO Den Haag
Mitchell de Vlugt;LW;72;58;57;63;43;44;ADO Den Haag
Richelo Fecunda;RB;70;31;45;49;57;56;ADO Den Haag
Dion Malone;RB;69;44;63;59;64;74;ADO Den Haag
Kevin Jansen;CM;66;54;68;63;57;73;ADO Den Haag
Danny Bakker;CDM;64;48;60;58;66;64;ADO Den Haag
Vidarell Merencia;CM;64;44;56;55;58;65;ADO Den Haag
Michiel Kramer;ST;63;65;57;62;34;52;ADO Den Haag
Thomas Kristensen;CM;63;62;68;65;60;72;ADO Den Haag
Timothy Derijck;CB;63;44;50;53;66;70;ADO Den Haag
Wilfred Kanon;CB;60;38;42;47;66;60;ADO Den Haag
Vito Wormgoor;CB;50;38;53;47;64;68;ADO Den Haag
Robert Zwinkels;GK;0;0;0;0;65;76;ADO Den Haag
Martin Hansen;GK;0;0;0;0;60;70;ADO Den Haag
Tim Coremans;GK;0;0;0;0;61;78;ADO Den Haag
