Naam;Positie;pace;shooting;passing;Offensive;Defensive;Stamina;Club
Aron;Johannsson;ST;78;77;62;73;29;71;AZ
Nemanja;Gudelj;CM;67;65;69;67;68;91;AZ
Celso;Ortiz;CDM;65;54;66;62;68;84;AZ
Jeffrey;Gouweleeuw;CB;75;54;59;63;73;73;AZ
Steven;Berghuis;RW;75;74;67;72;37;72;AZ
Viktor;Elm;CM;34;70;66;57;64;86;AZ
Guus;Hupperts;LW;84;66;63;71;42;73;AZ
Markus;Henriksen;CM;68;68;65;67;64;88;AZ
Jan;Wuytens;CB;47;46;56;50;70;77;AZ
Mattias;Johansson;RB;85;46;54;62;66;86;AZ
Simon;Poulsen;LB;76;58;64;66;64;80;AZ
Mikhail;Rosheuvel;RW;86;59;60;69;25;67;AZ
Muamer;Tankovic;ST;71;63;58;64;28;71;AZ
Thom;Haye;CAM;72;56;64;64;55;54;AZ
Ridgeciano;Haps;LB;84;48;59;64;63;69;AZ
Wesley;Hoedt;CB;53;34;49;46;61;41;AZ
Djavan;Anderson;RB;76;34;51;54;62;66;AZ
Derrick;Luckassen;CB;76;33;52;54;59;61;AZ
Eli;Babalj;ST;60;60;35;52;30;64;AZ
Yves;de Winter;GK;0;0;0;0;67;75;AZ
Esteban;Alvarado;GK;0;0;0;0;73;75;AZ
Sergio;Rochet;GK;0;0;0;0;64;75;AZ
