Naam;Positie;pace;shooting;passing;Offensive;Defensive;Stamina;Club
Davy Klaassen;CM;75;77;72;75;65;80;Ajax
Lasse Schone;RW;67;77;77;74;52;74;Ajax
Niklas Moisander;CB;67;49;67;61;76;72;Ajax
Joel Veltman;CB;69;37;57;55;77;68;Ajax
Viktor Fischer;LW;77;71;71;73;35;72;Ajax
Ricardo van Rhijn;RB;86;55;68;70;73;90;Ajax
Thulani Serero;CAM;84;55;70;70;47;87;Ajax
Kolbeinn Sigorsson;ST;69;72;58;67;77;77;Ajax
Lerin Duarte;CM;75;68;75;73;60;77;Ajax
Nicolai Boilesen;LB;78;48;64;64;72;77;Ajax
Niki Zimling;CM;65;66;69;67;72;86;Ajax
Ricardo Krishna;LW;86;59;69;72;29;62;Ajax
Anwar El Ghazi;RW;77;66;64;69;27;58;Ajax
Mike van der Hoorn;CB;59;29;51;47;72;65;Ajax
Stefano Denswil;CB;64;56;60;60;70;64;Ajax
Lucas Andersen;CAM;71;57;68;66;33;58;Ajax
Nick Viergever;CDM;67;50;53;57;73;80;Ajax
Arkadiusz Milik;ST;74;68;61;68;37;72;Ajax
Diederik Boer;GK;0;0;0;0;75;73;Ajax
Jasper Cilliessen;GK;0;0;0;0;81;80;Ajax
Peter Leeuwenburgh;GK;0;0;0;0;58;70;Ajax
