Naam;Positie;pace;shooting;passing;Offensive;Defensive;Stamina;Club
Jordan;Botaka;RW;86;62;56;68;27;64;Excelsior
Ninos;Gouriye;LW;73;70;59;68;36;60;Excelsior
Jeff;Stans;CM;63;56;63;61;64;81;Excelsior
Daryl;van Mieghem;LW;86;54;57;66;25;62;Excelsior
Kevin;van Diermen;CB;61;27;44;44;63;69;Excelsior
Rick;Kruys;CDM;51;54;62;56;58;64;Excelsior
Sander;Fischer;CB;64;36;46;49;64;66;Excelsior
Tom;van Weert;ST;65;64;48;59;27;66;Excelsior
Adil;Auassar;CM;45;55;62;54;62;74;Excelsior
Daan;Bovenberg;RB;56;48;58;54;64;65;Excelsior
Khalid;Karami;RB;70;38;56;55;61;66;Excelsior
Marko;Maletic;ST;53;61;51;55;29;63;Excelsior
Bas;Kuipers;LB;65;38;58;54;60;63;Excelsior
Daan;Smith;CB;53;37;45;45;61;64;Excelsior
Kevin;Vermeulen;CM;65;56;59;60;56;66;Excelsior
Daan;Blij;CM;68;63;62;65;51;55;Excelsior
Richard;Stolte;LW;69;58;58;62;40;65;Excelsior
Carlo;de Reuver;ST;65;59;39;55;28;55;Excelsior
Elso;Brito;LB;70;48;62;60;58;58;Excelsior
Jurgen;Mattheij;CB;54;43;45;48;57;45;Excelsior
Jordy;Deckers;GK;0;0;0;0;63;75;Excelsior
Alessandro;Damen;GK;0;0;0;0;59;70;Excelsior
