Naam;Positie;pace;shooting;passing;Offensive;Defensive;Stamina;Club
Funso;Ojo;CM;71;63;68;68;65;70;FC Dordrecht
Giovanni;Korte;LW;79;64;55;66;28;66;FC Dordrecht
Ricky;van Haaren;CM;54;55;73;61;52;64;FC Dordrecht
Mart;Lieder;ST;68;66;48;61;28;62;FC Dordrecht
Ilias;Haddad;CB;66;47;53;56;62;65;FC Dordrecht
Jeffrey;Fortes;RB;78;45;58;61;61;70;FC Dordrecht
Joris;van Overeem;CAM;69;53;62;62;55;59;FC Dordrecht
Marvin;Peersman;LB;73;47;54;58;64;68;FC Dordrecht
Rick;ten Voorde;ST;65;65;57;63;36;74;FC Dordrecht
Rihairo;Meulens;RW;86;62;52;67;22;65;FC Dordrecht
Jordy;van Deelen;RB;71;31;49;51;62;70;FC Dordrecht
Robin;Gosens;CM;66;47;57;57;58;74;FC Dordrecht
William;Troost-Ekong;CB;68;26;39;45;61;63;FC Dordrecht
Adnan;Alisic;CM;65;54;60;60;45;66;FC Dordrecht
Everon;Pisas;LW;77;50;53;60;52;60;FC Dordrecht
Mohamed;Hamdaoui;ST;72;63;47;61;26;57;FC Dordrecht
Javier;Vet;CM;65;51;58;58;46;51;FC Dordrecht
Nando;Wormgoor;CB;54;32;44;44;61;59;FC Dordrecht
Giovanno;Godeken;CM;66;47;60;58;49;59;FC Dordrecht
Sem;de Wit;CM;64;46;58;56;54;66;FC Dordrecht
Robbert;te Loeke;GK;0;0;0;0;62;75;FC Dordrecht
Filip;Kurto;GK;0;0;0;0;63;75;FC Dordrecht
Virgil;Deen;GK;0;0;0;0;58;70;FC Dordrecht
