Naam;Positie;pace;shooting;passing;Offensive;Defensive;Stamina;Club
Eric Botteghin;CB;39;37;45;41;76;76;FC Groningen
Tjaronn Chery;CAM;79;73;67;73;30;72;FC Groningen
Danny Hoesen;ST;79;67;58;68;29;66;FC Groningen
Jarchinio Antonia;RW;91;56;60;69;56;66;FC Groningen
Maikel Kieftenbeld;CM;71;66;68;69;60;81;FC Groningen
Michael de Leeuw;ST;64;65;64;65;42;83;FC Groningen
Johan Kappelhof;CB;71;36;57;55;66;66;FC Groningen
Nick van der Velden;RW;59;67;69;65;58;85;FC Groningen
Lorenzo Burnet;LB;81;41;59;61;64;74;FC Groningen
Martijn van der Laan;CB;73;50;59;61;66;72;FC Groningen
Rasmus Lindgren;CM;45;65;65;59;62;73;FC Groningen
Tom Hiariej;CDM;92;55;66;71;65;73;FC Groningen
GŽnero Zeefuik;ST;40;67;54;54;32;30;FC Groningen
Hans Hateboer;RB;72;41;52;55;65;68;FC Groningen
Henk Bos;RW;71;58;60;63;27;50;FC Groningen
Yo‘ll van Nieff;CM;66;63;69;66;64;71;FC Groningen
Hilal Ben Moussa;CAM;67;54;61;61;30;63;FC Groningen
Nick Bakker;CB;72;33;52;53;64;46;FC Groningen
Burak Saban;CM;67;50;61;60;43;39;FC Groningen
Dino Islamovic;ST;50;58;50;53;29;50;FC Groningen
Segio Padt;GK;0;0;0;0;68;75;FC Groningen
