Naam;Positie;pace;shooting;passing;Offensive;Defensive;Stamina;Club
Andreas;Bjelland;CB;54;44;60;53;76;72;FC Twente
Felipe;Gutierrez;CM;71;68;76;72;58;75;FC Twente
Hakim;Ziyech;CAM;73;73;73;73;42;73;FC Twente
Kamohelo;Mokotjo;CM;70;56;68;65;66;81;FC Twente
Luc;Castaignos;ST;81;73;66;74;30;75;FC Twente
Rasmus;Bengtsson;CB;62;43;54;53;72;69;FC Twente
Kyle;Ebecillio;CM;75;59;66;67;68;83;FC Twente
Darryl;Lachman;CB;70;46;58;58;72;72;FC Twente
Kasper;Kusk;RW;80;68;67;72;32;79;FC Twente
Youness;Mokthar;LW;77;60;66;68;37;70;FC Twente
Shadrach;Eghan;CAM;80;61;62;68;39;62;FC Twente
Cuco;Martina;CB;77;52;59;63;68;74;FC Twente
Jesus;Corona;RW;78;62;63;68;45;31;FC Twente
Robbert;Schilder;LB;57;72;71;67;67;75;FC Twente
Ryo;Miyaichi;RW;94;55;58;69;24;62;FC Twente
Tim;Breukers;RB;72;48;60;60;66;86;FC Twente
Torgeir;Borven;ST;76;66;49;64;30;73;FC Twente
Bilal;Ould-Chikh;RW;76;56;72;68;25;48;FC Twente
Nick;Marsman;GK;0;0;0;0;69;72;FC Twente
Filip;Bednarek;GK;0;0;0;0;60;70;FC Twente
Sonny;Stevens;GK;0;0;0;0;68;79;FC Twente
