Naam;Positie;pace;shooting;passing;Offensive;Defensive;Stamina;Club
Yassin;Ayoub;CM;71;56;70;66;66;72;FC Utrecht
Anouar;Kali;CM;67;61;75;68;57;75;FC Utrecht
Nacer;Barazite;CAM;72;66;65;68;30;67;FC Utrecht
Ramon;Leeuwin ;CB;71;45;60;59;69;75;FC Utrecht
Thomas;Oar;LW;80;60;67;69;32;74;FC Utrecht
Willem;Janssen;CAM;65;60;67;64;60;88;FC Utrecht
Edouard;Duplan;RW;69;61;65;65;36;67;FC Utrecht
Adam;Sarota;CM;69;58;68;65;59;84;FC Utrecht
Danny;Verbeek;RW;84;57;63;68;24;73;FC Utrecht
Ruud;Boymans;ST;53;70;50;58;29;70;FC Utrecht
Chris;Kum;LB;74;42;53;57;66;68;FC Utrecht
Gevero;Markiet;CB;63;31;49;48;63;65;FC Utrecht
Mark;van der Maarel;RB;73;41;54;56;67;69;FC Utrecht
Kai;Heerings;CB;63;29;48;47;66;65;FC Utrecht
Kristoffer;Peterson;RW;78;60;53;64;33;47;FC Utrecht
Mark;Diemers;CM;64;59;64;63;56;58;FC Utrecht
Michael;Zullo;LB;81;50;62;65;59;66;FC Utrecht
Gyliano;van Velzen;LW;80;45;55;60;27;53;FC Utrecht
Jeff;Hardeveld;CB;63;38;57;53;61;58;FC Utrecht
Jeroen;Verhoeven;GK;0;0;0;0;65;78;FC Utrecht
Robbin;Ruiter;GK;0;0;0;0;75;79;FC Utrecht
