Naam;Positie;pace;shooting;passing;Offensive;Defensive;Stamina;Club
Jordy Clasie;CM;68;64;73;69;65;83;Feyenoord
Jean-Paul Boëtius;LW;88;71;68;76;26;69;Feyenoord
Jens Toornstra;CAM;71;72;72;72;54;90;Feyenoord
Joris Mathijsen;CB;32;37;54;41;77;53;Feyenoord
Karim El Ahmadi;CM;68;64;70;68;60;84;Feyenoord
Terence Kongolo;CB;78;42;62;61;73;71;Feyenoord
Khalid Boulahrouz;CB;42;41;56;47;74;44;Feyenoord
Tonny Vilhena;CM;74;72;73;73;63;75;Feyenoord
Bilal Basaçikoglu;RW;89;65;61;72;29;74;Feyenoord
Colin Kazim-Richards;ST;77;70;67;72;37;72;Feyenoord
Lex Immers;CAM;56;74;66;66;62;89;Feyenoord
Luke Wilkshire;RB;70;61;65;66;68;81;Feyenoord
Ruben Schaken;RW;81;63;65;70;26;65;Feyenoord
Elvis Manu;LW;86;67;55;70;28;68;Feyenoord
Miquel Nelom;LB;80;58;65;68;67;75;Feyenoord
Sven van Beek;CB;66;34;50;50;68;63;Feyenoord
Wesley Verhoek;RW;65;68;69;68;30;52;Feyenoord
Mitchell te Vrede;ST;60;65;47;58;28;64;Feyenoord
Anass Achahbar;ST;71;63;62;66;29;41;Feyenoord
Lucas Woudenberg;LB;73;34;57;55;61;93;Feyenoord
Matthew Steenvoorden;CB;64;43;58;55;62;64;Feyenoord
Rick Karsdorp;CAM;70;66;62;66;49;70;Feyenoord
Rody Lopes Cabral;RB;79;40;56;59;59;65;Feyenoord
Wessel Dammers;ST;68;64;41;58;27;43;Feyenoord
Ronald Graafland;GK;0;0;0;0;64;75;Feyenoord
Kenneth Vermeer;GK;0;0;0;0;84;75;Feyenoord
Erwin Mulder;GK;0;0;0;0;74;75;Feyenoord
