Naam;Positie;pace;shooting;passing;Offensive;Defensive;Stamina;Club
Deniz;Turuc;CM;74;65;70;70;53;70;Go Ahead Eagles
Lesly;de Sa;RW;88;51;57;66;27;64;Go Ahead Eagles
Sander;Duits;CDM;51;63;65;60;64;80;Go Ahead Eagles
Jeffrey;Rijsdijk;CAM;74;65;63;68;39;79;Go Ahead Eagles
Peter;van Ooijen;CM;67;62;68;66;63;62;Go Ahead Eagles
Sjoerd;Overgoor;CDM;61;56;68;62;59;70;Go Ahead Eagles
Giliano;Wijnaldum;LB;74;48;61;61;65;68;Go Ahead Eagles
Jules;Reimerink;RW;74;51;60;62;25;63;Go Ahead Eagles
Marnix;Kolder;ST;42;68;60;57;37;64;Go Ahead Eagles
Alex;Schalk;ST;73;65;45;61;29;71;Go Ahead Eagles
Bart;Vriends;CB;58;31;44;45;61;61;Go Ahead Eagles
Jop;van der Linden;CB;49;45;63;53;65;62;Go Ahead Eagles
Lars;Lambooij;CM;70;47;67;62;58;64;Go Ahead Eagles
Xandro;Schenk;LB;64;44;59;56;63;68;Go Ahead Eagles
Fernando;Lewis;RW;78;60;55;65;29;53;Go Ahead Eagles
Mawouna;Amevor;RB;74;29;59;54;62;72;Go Ahead Eagles
Sven;Nieuwpoort;RB;74;26;51;51;62;56;Go Ahead Eagles
Nick;de bondt;LW;77;58;53;63;26;60;Go Ahead Eagles
Robin;van der Meer;CB;47;31;31;37;60;58;Go Ahead Eagles
Puck;Postma;ST;63;58;42;55;26;60;Go Ahead Eagles
Teije;ten Den;CAM;58;45;61;55;43;67;Go Ahead Eagles
Erik;Cummins;GK;0;0;0;0;64;75;Go Ahead Eagles
Mickey;van der Hart;GK;0;0;0;0;65;75;Go Ahead Eagles
Ruben;Lucas;GK;0;0;0;0;57;70;Go Ahead Eagles
