Naam;Positie;pace;shooting;passing;Offensive;Defensive;Stamina;Club
Bryan;Linssen;RW;82;80;62;75;41;76;Heracles Almelo
Illiass;Bel Hassani;CAM;71;61;72;68;35;55;Heracles Almelo
Hier nog;iets fiksen;LW;81;74;59;72;40;73;Heracles Almelo
Mark-Jan;Fledderus;CM;57;70;70;66;57;74;Heracles Almelo
Mike;te Wierik;RB;64;47;62;58;68;69;Heracles Almelo
Bart;Schenkeveld;CB;62;38;59;53;67;65;Heracles Almelo
Denni;Avdic;ST;49;68;51;56;35;62;Heracles Almelo
Ramon;Zomer;CB;52;44;58;52;65;71;Heracles Almelo
Simon;Cziommer;CM;43;68;70;61;51;62;Heracles Almelo
Dario;Vuijcevic;CAM;66;62;64;64;34;62;Heracles Almelo
Oussama;Tannane;RW;75;64;61;67;31;54;Heracles Almelo
Thomas;Bruns;CM;75;61;61;66;54;77;Heracles Almelo
Bas;Sibum;CDM;38;48;58;48;64;80;Heracles Almelo
Edwin;Gyasi;RW;88;59;53;67;28;59;Heracles Almelo
Jeroen;Veldmate;CB;33;48;57;46;64;71;Heracles Almelo
Milano;Koenders;CB;67;32;56;52;63;68;Heracles Almelo
Joey;Pelupessy;CM;69;41;62;58;58;62;Heracles Almelo
Jaroslav;Navratil;RW;69;60;57;62;27;34;Heracles Almelo
Menno;Heerkes;CM;68;54;59;61;56;68;Heracles Almelo
Wout;Weghorst;ST;47;64;41;51;28;64;Heracles Almelo
Aleksei;Kangaskolkka;ST;55;64;54;58;35;50;Heracles Almelo
Dragan;Paljic;LW;75;52;58;62;61;75;Heracles Almelo
Fahd;Aktaou;LB;78;43;55;59;58;62;Heracles Almelo
Coen;Gortemaker;CB;58;34;47;47;55;56;Heracles Almelo
Daan;Rienstra;CDM;66;47;56;57;56;66;Heracles Almelo
Rick;Hemmink;CDM;48;42;57;49;57;47;Heracles Almelo
Mark;Engberink;LB;61;31;49;47;59;55;Heracles Almelo
Bram;Castro;GK;0;0;0;0;64;75;Heracles Almelo
Dennis;Telgenkamp;GK;0;0;0;0;65;75;Heracles Almelo
Renze;Fij;GK;0;0;0;0;59;75;Heracles Almelo
Michael;Brouwer;GK;0;0;0;0;59;75;Heracles Almelo
