Naam;Positie;pace;shooting;passing;Offensive;Defensive;Stamina;Club
Adnane;Tighadouini;LW;77;64;62;68;32;68;NAC Breda
Erik;Falkenburg;CAM;66;69;63;66;38;70;NAC Breda
Kingsley;Boateng;RW;82;64;56;68;26;68;NAC Breda
Uros;Matic;CM;71;62;65;66;52;87;NAC Breda
Elson;Hooi;RW;89;58;59;69;28;66;NAC Breda
Henrico;Drost;CB;44;38;45;43;68;69;NAC Breda
Stipe;Perica;ST;72;70;43;62;29;56;NAC Breda
Jeffrey;Sarpong;LW;76;55;59;64;29;62;NAC Breda
Joeri;de Kamps;CDM;67;46;57;57;63;68;NAC Breda
RŽmy;Amieux;LB;76;54;58;63;62;76;NAC Breda
Aleksandar;Damcevski;CB;43;31;41;39;62;64;NAC Breda
Mats;Seuntjens;CM;67;62;63;64;57;63;NAC Breda
Sepp;De Roover;RB;70;48;51;57;64;71;NAC Breda
Isak;Ssewankambo;RB;89;36;60;62;59;85;NAC Breda
Joey;Suk;CM;45;65;55;55;57;86;NAC Breda
Gill;Swerts;CDM;58;43;57;53;59;70;NAC Breda
Kenny;van der Weg;LB;61;30;43;45;64;68;NAC Breda
Mounir;El Allouchi;CAM;65;50;61;59;40;53;NAC Breda
Gabor;Babos;GK;0;0;0;0;66;75;NAC Breda
Jelle;ten Rouwelaar;GK;0;0;0;0;70;80;NAC Breda
Andries;Noppert;GK;0;0;0;0;61;70;NAC Breda
