Naam;Positie;pace;shooting;passing;Offensive;Defensive;Stamina;Club
Tomas;Necid;ST;72;76;55;68;34;71;PEC Zwolle
Jesper;Drost;CAM;74;64;68;69;62;74;PEC Zwolle
Mustafa;Saymak;CAM;83;64;65;71;25;68;PEC Zwolle
Ben;Rienstra;CDM;60;54;60;58;67;73;PEC Zwolle
Bram;van Polen;RB;74;47;57;60;67;75;PEC Zwolle
Jody;Lukoki;RM;93;51;56;67;26;69;PEC Zwolle
Ryan;Thomas;LM;74;51;64;63;36;73;PEC Zwolle
Stef;Nijland;LM;66;63;66;65;30;65;PEC Zwolle
Joost;Broerse;CB;34;56;53;48;66;49;PEC Zwolle
Maikel;van der Werff;CB;65;50;52;56;67;65;PEC Zwolle
Trent;Sainsbury;CB;73;53;65;64;66;75;PEC Zwolle
Bart;van Hintum;LB;67;50;63;60;65;75;PEC Zwolle
Rick;Dekker;CM;74;51;61;62;60;67;PEC Zwolle
Thanasis;Karagounis;RM;75;59;63;66;27;65;PEC Zwolle
Thomas;Lam;CB;63;44;56;55;63;65;PEC Zwolle
Leroy;Labylle;LM;73;56;61;64;53;55;PEC Zwolle
Nikolaos;Ioannidis;ST;70;61;50;61;27;72;PEC Zwolle
Wouter;Marinus;CAM;76;63;55;65;34;63;PEC Zwolle
Soufian;Moro;RM;75;59;57;64;27;56;PEC Zwolle
Steven;Pereira;CB;70;30;44;48;59;59;PEC Zwolle
Kevin;Begois;GK;0;0;0;0;63;75;PEC Zwolle
Boy;de Jong;GK;0;0;0;0;62;75;PEC Zwolle
Warner;Hahn;GK;0;0;0;0;73;75;PEC Zwolle
