Naam;Positie;pace;shooting;passing;Offensive;Defensive;Stamina;Club
Georginio;Wijnaldum;CAM;83;73;70;76;63;86;PSV
Memphis;Depay;LW;91;71;72;78;28;82;PSV
Adam;Maher;CM;75;70;76;74;53;70;PSV
Andres;Guardado;LB;82;67;74;75;76;81;PSV
Luciano;Narsingh;RW;74;68;72;72;51;72;PSV
Luuk;de Jong;ST;64;75;67;69;43;76;PSV
Stijn;Schaars;CM;51;68;80;67;69;72;PSV
Jeffery;Bruma;CB;67;53;62;61;70;67;PSV
Jurgen;Locadia;ST;74;74;62;70;34;71;PSV
Karim;Rekik;CB;73;38;54;55;72;68;PSV
Jetro;Willems;LB;80;57;66;68;71;75;PSV
Oscar;Hiljemark;CM;68;58;68;65;66;90;PSV
Santiago;Arias;RB;87;45;62;65;69;85;PSV
Nicolas;Isimat-Mirin;CB;69;33;51;51;70;67;PSV
Zakaria;Bakkali;RW;85;63;64;71;25;56;PSV
Florian;Jozefzoon;RW;90;59;61;70;24;63;PSV
Marcel;Ritzmaier;RW;72;65;74;71;57;68;PSV
Remko;Pasveer;GK;0;0;0;0;71;73;PSV
Jeroen;Zoet;GK;0;0;0;0;77;80;PSV
Nigel;Bertrams;GK;0;0;0;0;62;72;PSV
