Naam;Positie;pace;shooting;passing;Offensive;Defensive;Stamina;Club
Mohamed;El Makrini;CDM;59;43;61;55;65;73;SC Cambuur
Daniel;de Ridder;LW;70;63;66;67;36;66;SC Cambuur
Dejan;Meleg;RW;67;65;68;67;28;68;SC Cambuur
Erik;Bakker;CAM;72;60;65;66;48;73;SC Cambuur
Etienne;Reijnen;CB;42;32;58;44;65;65;SC Cambuur
Bartholomew;Ogbeche;ST;81;64;46;64;27;64;SC Cambuur
Bob;Schepers;RW;76;60;59;65;35;75;SC Cambuur
Furdjel;Narsingh;RW;84;55;59;66;24;49;SC Cambuur
Lucas;Bijker;CB;75;34;54;55;63;71;SC Cambuur
Martijn;Barto;ST;60;65;46;57;29;72;SC Cambuur
Michiel;Hemmen;ST;42;68;45;52;29;69;SC Cambuur
Wout;Droste;RB;75;28;56;53;64;78;SC Cambuur
Albert;Rusn‡k;CAM;76;53;60;63;34;69;SC Cambuur
Calvin;Mac-Intosh;CB;68;38;50;52;65;63;SC Cambuur
Mart;Dijkstra;CB;48;52;49;50;64;70;SC Cambuur
Oebele;Schokker;RW;41;63;70;58;34;59;SC Cambuur
Marlon;Pereira;LB;69;31;55;52;63;66;SC Cambuur
Sebastian;Steblecki;LW;69;59;53;61;44;41;SC Cambuur
Vytautas;Andriuskevicius;LB;67;40;55;54;62;65;SC Cambuur
Sander;van de Streek;CAM;62;59;58;60;40;35;SC Cambuur
Ron;Janzen;CB;54;30;35;40;60;55;SC Cambuur
Berend;Schootstra;CDM;57;45;54;52;57;54;SC Cambuur
Leonard;Nienhuis;GK;0;0;0;0;66;80;SC Cambuur
Harm;Zeinstra;GK;0;0;0;0;61;75;SC Cambuur
Jurjan;Wouda;GK;0;0;0;0;61;75;SC Cambuur
