Naam;Positie;pace;shooting;passing;Offensive;Defensive;Stamina;Club
Pele;van Anholt;RB;77;53;60;64;67;76;SC Heerenveen
Joey;van den Berg;CDM;61;62;60;61;64;83;SC Heerenveen
Marten;de Roon;CM;67;57;64;63;63;86;SC Heerenveen
Sam;Larsson;LW;76;58;63;66;29;75;SC Heerenveen
Daley;Sinkgraven;CAM;73;48;69;64;51;64;SC Heerenveen
Jordy;Buijs;CB;61;68;61;64;65;74;SC Heerenveen
Kenneth;Otigba;CB;75;35;47;53;65;65;SC Heerenveen
Mark;Uth;ST;71;64;60;65;32;67;SC Heerenveen
Thomas;Dalgaard;ST;62;68;42;58;29;70;SC Heerenveen
Joost;van Aken;CB;73;31;53;53;64;63;SC Heerenveen
Luciano;Slagveer;RW;87;60;55;68;30;62;SC Heerenveen
Stefano;Marzo;RB;75;29;54;53;64;68;SC Heerenveen
Doke;Schmidt;RB;67;46;55;56;64;70;SC Heerenveen
Jeroen;Lumu;RW;84;62;49;65;28;63;SC Heerenveen
Jukku;Raitala;LB;69;35;56;54;64;70;SC Heerenveen
Jens Jurn;Streutker;LB;64;40;50;52;63;53;SC Heerenveen
Michael;Chacon;CM;74;44;59;59;59;74;SC Heerenveen
Joris;Voest;LB;74;43;53;57;59;55;SC Heerenveen
Morten;Throsby;CAM;62;44;56;54;39;60;SC Heerenveen
Willem;Huizing;CB;59;29;37;42;61;60;SC Heerenveen
Viktor;Noring;GK;0;0;0;22;66;70;SC Heerenveen
Kristoffer;Nordfeldt;GK;0;0;0;24;71;84;SC Heerenveen
Robin;Kist;GK;0;0;0;20;58;73;SC Heerenveen
