Naam;Positie;pace;shooting;passing;Offensive;Defensive;Stamina;Club
Davy;Pröpper;CAM;70;70;70;70;56;75;Vitesse
Guram;Kashia;CB;59;29;62;50;74;75;Vitesse
Renato;Ibarra;RW;90;64;67;74;44;80;Vitesse
Valeri;Qazaishvili;CM;72;69;73;72;35;63;Vitesse
Zakaria;Labyad;CAM;78;70;69;73;31;72;Vitesse
Marko;Veijnovic;CDM;61;70;76;69;68;72;Vitesse
Bertrand;Traoré;RW;87;66;65;73;31;73;Vitesse
Jan-Arie;van der Heijden;CB;47;61;72;60;72;72;Vitesse
Denys;Oliynyk;LW;74;53;72;67;41;79;Vitesse
Josh;McEachran;CM;76;66;72;72;58;68;Vitesse
Kelvin;Leerdam;CM;75;58;66;67;70;85;Vitesse
X;Wallace;RB;81;60;65;69;63;74;Vitesse
Arnold;Kruiswijk;LB;52;44;49;49;71;71;Vitesse
Uros;Djurdjevic;ST;69;47;52;56;30;50;Vitesse
Dan;Mori;CB;48;31;49;43;66;57;Vitesse
Rochi;Achenteh;LB;68;52;66;62;65;82;Vitesse
Kevin;Diks;RB;60;35;49;48;61;45;Vitesse
Gino;Bosz;CDM;67;53;59;60;52;49;Vitesse
Piet;Velthuizen;GK;0;0;0;0;75;75;Vitesse
Eloy;Room;GK;0;0;0;0;67;75;Vitesse
Jeroen;Houwen;GK;0;0;0;0;60;75;Vitesse
