Naam;Positie;pace;shooting;passing;Offensive;Defensive;Stamina;Club
Ben Sahar ;LW;78;71;61;70;30;55;Willem II
Samuel Armenteros;ST;68;68;60;66;32;67;Willem II
Jerson Cabral;LW;81;64;56;67;32;46;Willem II
Mitchell Dijks;LB;68;39;51;53;67;74;Willem II
Stijn Wuytens;CM;63;49;67;60;59;71;Willem II
Terell Ondaan;RW;89;61;53;68;28;66;Willem II
Bruno Andrade;ST;71;65;60;66;28;63;Willem II
Frank van der Struijk;RB;56;38;52;49;63;82;Willem II
Jonas Heymans;LB;73;43;58;58;63;67;Willem II
Jordens Peters;CB;64;35;60;53;66;63;Willem II
Ali Messaoud;CAM;65;61;63;63;26;64;Willem II
Charlton Vicento;LW;87;60;54;67;25;62;Willem II
Fabian Sporkslede;CM;69;52;58;60;63;65;Willem II
Dries Wuytens ;CB;64;26;51;47;63;63;Willem II
Robbie Haemhouts;CM;63;63;63;63;59;65;Willem II
Tim Cornelisse;RB;37;45;61;48;59;44;Willem II
Ricardo Ippel;CM;67;61;61;63;57;66;Willem II
Freek Heerkens;RB;67;27;52;49;61;64;Willem II
David Meul;GK;0;0;0;0;61;70;Willem II
Konstantinos Lamprou;GK;0;0;0;0;66;74;Willem II
Mattijs Baranderhorst;GK;0;0;0;0;58;75;Willem II
